function,calls,success,fail,avg_ms,min_ms,max_ms
authenticate_user,3,3,0,9787.478633336528,2205.590800003847,24733.13710000366
get_device_power_usage,3,3,0,3074.626099997355,1233.8964999944437,6746.400399992126
delete_group,3,3,0,2803.8632333288356,2695.331499999156,2893.219699995825
update_group_state,3,3,0,2803.2333666681857,2725.1023999997415,2843.72180000355
get_latest_power_usage,3,3,0,2572.555366665862,2531.840200012084,2630.1971999928355
delete_device,3,3,0,2545.4352333326824,2520.1240999886068,2591.206900004181
create_user,3,3,0,2527.182100001179,2501.3781000016024,2568.181900001946
update_device_state,3,3,0,2487.2553333310257,2408.7158999900566,2530.5910000024596
create_device,3,3,0,2384.177700000388,2093.4192999993684,2853.550900006667
create_group,3,3,0,2329.824666667264,2199.553200000082,2576.7013000004226
get_group_devices,3,3,0,2315.758933337444,2212.3706999991555,2467.1643000037875
get_devices,3,3,0,2202.8746333332188,2168.396799999755,2228.466800006572
get_group_power_usage,3,3,0,2190.4802999973376,2084.1787999961525,2305.694999988191
get_groups,3,3,0,2189.1018000072413,2161.6693000105442,2209.4876000046497
get_power_usage,3,3,0,1583.10946666946,1275.293300001067,2176.4334000035888
get_myPowerUsage,3,3,0,1249.8936666670488,1238.7560000061058,1269.243100003223
